id,category,sub_category,question,answer
1,সাধারণ জ্ঞান,রাজধানী,বাংলাদেশের রাজধানী কোথায়?,ঢাকা
2,সাধারণ জ্ঞান,রাজধানী,চায়নার রাজধানী কোথায়?,বেইজিং
3,সাধারণ জ্ঞান,রাজধানী,ভারতের রাজধানী কোথায়?,নয়াদীল্লী
4,সাধারণ জ্ঞান,রাজধানী,নেপাল রাজধানী কোথায়?,কাঠমান্ডু
5,সাধারণ জ্ঞান,রাজধানী,ভুটান রাজধানী কোথায়?,থিম্পু
6,সাধারণ জ্ঞান,রাজধানী,পাকিস্থান রাজধানী কোথায়?,ইসলামাবাদ
7,সাধারণ জ্ঞান,রাজধানী,শ্রীলংকা রাজধানী কোথায়?,কলম্ব
8,সাধারণ জ্ঞান,রাজধানী,আফগানিস্তান রাজধানী কোথায়?,কাবুল
9,সাধারণ জ্ঞান,রাজধানী,মায়ানমার রাজধানী কোথায়?,নাইপিদো
10,সাধারণ জ্ঞান,রাজধানী,ইসরাইল রাজধানী কোথায়?,জেরুজালেম
11,সাধারণ জ্ঞান,রাজধানী,ফিলিপিনস রাজধানী কোথায়?,ম্যানিলা
12,সাধারণ জ্ঞান,রাজধানী,থাইল্যান্ড রাজধানী কোথায়?,ব্যাংকক
13,সাধারণ জ্ঞান,রাজধানী,জাপান রাজধানী কোথায়?,টোকিও
14,সাধারণ জ্ঞান,রাজধানী,বাহরাইন রাজধানী কোথায়?,মানামা
15,সাধারণ জ্ঞান,রাজধানী,সৌদিআরব রাজধানী কোথায়?,রিয়াদ
16,সাধারণ জ্ঞান,রাজধানী,মিশর রাজধানী কোথায়?,কায়রো
17,সাধারণ জ্ঞান,রাজধানী,জার্মানি রাজধানী কোথায়?,বার্লিন
18,সাধারণ জ্ঞান,রাজধানী,রাশিয়া রাজধানী কোথায়?,মস্কো
19,সাধারণ জ্ঞান,রাজধানী,ইংল্যাণ্ড রাজধানী কোথায়?,লন্ডন
20,সাধারণ জ্ঞান,রাজধানী,সুইডেন রাজধানী কোথায়?,স্টকহোম
21,সাধারণ জ্ঞান,রাজধানী,সুইজারল্যাণ্ড রাজধানী কোথায়?,বার্ন
22,সাধারণ জ্ঞান,রাজধানী,অস্ট্রেলিয়া রাজধানী কোথায়?,ক্যানবেরা
23,সাধারণ জ্ঞান,রাজধানী,নিউজিল্যাণ্ড রাজধানী কোথায়?,ওয়েলিংটন
24,সাধারণ জ্ঞান,রাজধানী,আলবেনিয়া রাজধানী কোথায়?,তিরানা
25,সাধারণ জ্ঞান,রাজধানী,আলজেরিয়া রাজধানী কোথায়?,আলজিয়ার্স
26,সাধারণ জ্ঞান,রাজধানী,আন্ডোরা রাজধানী কোথায়?, আন্ডোরা লা ভেলা
27,সাধারণ জ্ঞান,রাজধানী,অ্যাঙ্গোলা রাজধানী কোথায়?,​​লুয়ান্ডা
28,সাধারণ জ্ঞান,রাজধানী,অ্যান্টিগুয়া এবং বার্বুডা রাজধানী কোথায়?,সেন্ট জনস
29,সাধারণ জ্ঞান,রাজধানী,আর্জেন্টিনা রাজধানী কোথায়?,বুয়েনস আইরেস
30,সাধারণ জ্ঞান,রাজধানী,আর্মেনিয়া রাজধানী কোথায়?,ইয়েরেভেন
31,সাধারণ জ্ঞান,রাজধানী,অস্ট্রিয়া রাজধানী কোথায়?,ভিয়েনা
32,সাধারণ জ্ঞান,রাজধানী,আজারবাইজান রাজধানী কোথায়?,বাকু
33,সাধারণ জ্ঞান,রাজধানী,বাহামা রাজধানী কোথায়?,নাসাউ
34,সাধারণ জ্ঞান,রাজধানী,বার্বাডোস রাজধানী কোথায়?,ব্রিজটাউন
35,সাধারণ জ্ঞান,রাজধানী,বেলারুশ রাজধানী কোথায়?,মিনস্ক
36,সাধারণ জ্ঞান,রাজধানী,বেলজিয়াম রাজধানী কোথায়?,ব্রাসেলস
37,সাধারণ জ্ঞান,রাজধানী,বেলিজ রাজধানী কোথায়?,বেলমোপন
38,সাধারণ জ্ঞান,রাজধানী,বেনিন রাজধানী কোথায়?,পোর্তো-নোভো
39,সাধারণ জ্ঞান,রাজধানী,বলিভিয়া রাজধানী কোথায়?,লা পাজ 
40,সাধারণ জ্ঞান,রাজধানী,বসনিয়া ও হার্জেগোভিনা রাজধানী কোথায়?,সরজেভো
41,সাধারণ জ্ঞান,রাজধানী,বোতসোয়ানা রাজধানী কোথায়?,গ্যাবরোন
42,সাধারণ জ্ঞান,রাজধানী,ব্রাজিল রাজধানী কোথায়?,ব্রাসিলিয়া
43,সাধারণ জ্ঞান,রাজধানী,ব্রুনাই রাজধানী কোথায়?, বন্দর সেরি বেগওয়ান
44,সাধারণ জ্ঞান,রাজধানী,বুলগেরিয়া রাজধানী কোথায়?,সোফিয়া
45,সাধারণ জ্ঞান,রাজধানী,বুর্কিনা ফাসো রাজধানী কোথায়?,ওগাডৌগৌ
46,সাধারণ জ্ঞান,রাজধানী,বুরুন্ডি রাজধানী কোথায়?,গিটেগা
47,সাধারণ জ্ঞান,রাজধানী,কম্বোডিয়া রাজধানী কোথায়?,নম পেন
48,সাধারণ জ্ঞান,রাজধানী,ক্যামেরুন রাজধানী কোথায়?,ইয়াউন্ডে
49,সাধারণ জ্ঞান,রাজধানী,কানাডা রাজধানী কোথায়?,অটোয়া
50,সাধারণ জ্ঞান,রাজধানী,কেপ ভার্দে রাজধানী কোথায়?,প্রিয়া
51,সাধারণ জ্ঞান,রাজধানী,মধ্য আফ্রিকান প্রজাতন্ত্র রাজধানী কোথায়?,বঙ্গুই
52,সাধারণ জ্ঞান,রাজধানী,চাদ রাজধানী কোথায়?,এন'জামেনা
53,সাধারণ জ্ঞান,রাজধানী,চিলি রাজধানী কোথায়?,সান্তিয়াগো
54,সাধারণ জ্ঞান,রাজধানী,কলম্বিয়া রাজধানী কোথায়?,বোগোতা
55,সাধারণ জ্ঞান,রাজধানী,কোমোরোস রাজধানী কোথায়?,মরোনি
56,সাধারণ জ্ঞান,রাজধানী,কঙ্গো(প্রজাতন্ত্রের) রাজধানী কোথায়?,ব্রাজাভিল
57,সাধারণ জ্ঞান,রাজধানী,কঙ্গো(গণতান্ত্রিক প্রজাতন্ত্রের) রাজধানী কোথায়?,কিনশাসা
58,সাধারণ জ্ঞান,রাজধানী,কোস্টারিকা রাজধানী কোথায়?, সান জোসে
59,সাধারণ জ্ঞান,রাজধানী,কোট ডি'ইভায়ার রাজধানী কোথায়?,ইয়ামৌসৌক্রো 
60,সাধারণ জ্ঞান,রাজধানী,ক্রোয়েশিয়া রাজধানী কোথায়?,জাগ্রেব
61,সাধারণ জ্ঞান,রাজধানী,কিউবা রাজধানী কোথায়?,হাভানা
62,সাধারণ জ্ঞান,রাজধানী,সাইপ্রাস রাজধানী কোথায়?,নিকোসিয়া
63,সাধারণ জ্ঞান,রাজধানী,চেক প্রজাতন্ত্র রাজধানী কোথায়?,প্রাগ
64,সাধারণ জ্ঞান,রাজধানী,ডেনমার্ক রাজধানী কোথায়?,কোপেনহেগেন
65,সাধারণ জ্ঞান,রাজধানী,জিবুতি রাজধানী কোথায়?,জিবুতি
66,সাধারণ জ্ঞান,রাজধানী,ডোমিনিকা রাজধানী কোথায়?, রোসাউ
67,সাধারণ জ্ঞান,রাজধানী,ডোমিনিকান প্রজাতন্ত্র রাজধানী কোথায়?,সান্টো ডোমিংগো
68,সাধারণ জ্ঞান,রাজধানী,পূর্ব তিমুর রাজধানী কোথায়?,দিলি
69,সাধারণ জ্ঞান,রাজধানী,ইকুয়েডর রাজধানী কোথায়?,কুইটো
70,সাধারণ জ্ঞান,রাজধানী,মিশর রাজধানী কোথায়?,কায়রো
71,সাধারণ জ্ঞান,রাজধানী,এল সালভাদোর রাজধানী কোথায়?,সান সালভাদোর
72,সাধারণ জ্ঞান,রাজধানী,নিরক্ষীয় গিনি রাজধানী কোথায়?,মালাবো
73,সাধারণ জ্ঞান,রাজধানী,ইরিত্রিয়া রাজধানী কোথায়?, আসমারা 
74,সাধারণ জ্ঞান,রাজধানী,এস্তোনিয়ার রাজধানী  কোথায়?,টালিন
75,সাধারণ জ্ঞান,রাজধানী, ইথিওপিয়ার রাজধানী কোথায়?,আদিস আবাবা
76,সাধারণ জ্ঞান,রাজধানী, ফিজির রাজধানী কোথায়?,সুভা
77,সাধারণ জ্ঞান,রাজধানী,ফিনল্যান্ডের  রাজধানী কোথায়?, হেলসিঙ্কি
78,সাধারণ জ্ঞান,রাজধানী, ফ্রান্সরাজধানী কোথায়?,প্যারিস 
79,সাধারণ জ্ঞান,রাজধানী,গ্যাবন রাজধানী কোথায়?, লিব্রেভিল
80,সাধারণ জ্ঞান,রাজধানী,গাম্বিয়া  রাজধানী কোথায়?,বনজুল
81,সাধারণ জ্ঞান,রাজধানী, জর্জিয়া রাজধানী কোথায়?,তিবিলিসি  
82,সাধারণ জ্ঞান,রাজধানী, জার্মানি  রাজধানী কোথায়?,বার্লিন 
83,সাধারণ জ্ঞান,রাজধানী,ঘানা রাজধানী কোথায়?,আকড়া 
84,সাধারণ জ্ঞান,রাজধানী, গ্রীস   রাজধানী কোথায়?,অ্যাথেন্স 
85,সাধারণ জ্ঞান,রাজধানী, গ্রেনাডা এর রাজধানী কোথায়?,সেন্ট জর্জ 
86,সাধারণ জ্ঞান,রাজধানী,  গুয়াতেমালা  রাজধানী কোথায়?,গুয়াতেমালা শহর
87,সাধারণ জ্ঞান,রাজধানী, গিনি  রাজধানী কোথায়?,কোনাক্রি  
88,সাধারণ জ্ঞান,রাজধানী,  গিনি-বিসাউ  রাজধানী কোথায়?, বিসাউ
89,সাধারণ জ্ঞান,রাজধানী, গায়ানা রাজধানী কোথায়?, জর্জিটাউন
90,সাধারণ জ্ঞান,রাজধানী, হাইতি  রাজধানী কোথায়?,পোর্ট-অ-প্রিন্স
91,সাধারণ জ্ঞান,রাজধানী, হন্ডুরাসর রাজধানী কোথায়?, টেগুসিগালপা  
92,সাধারণ জ্ঞান,রাজধানী, হাঙ্গেরির  রাজধানী কোথায়?,বুদাপেস্ট 
93,সাধারণ জ্ঞান,রাজধানী, আইসল্যান্ড রাজধানী কোথায়?, রেকজাভিক 
94,সাধারণ জ্ঞান,রাজধানী,  ভারত   রাজধানী কোথায়?, নয়াদিল্লি
95,সাধারণ জ্ঞান,রাজধানী,  ইন্দোনেশিয়া  রাজধানী কোথায়?, জাকার্তা
96,সাধারণ জ্ঞান,রাজধানী,   ইরান  রাজধানী কোথায়?, তেহরান 
97,সাধারণ জ্ঞান,রাজধানী,  ইরাক রাজধানী কোথায়?, বাগদাদ  
98,সাধারণ জ্ঞান,রাজধানী, আয়ারল্যান্ড  রাজধানী কোথায়?, ডাবলিন
99,সাধারণ জ্ঞান,রাজধানী, ইস্রায়েল জেরুজালেম    রাজধানী কোথায়?,
100,সাধারণ জ্ঞান,রাজধানী, ইতালি রাজধানী কোথায়?,: রোম 
101,সাধারণ জ্ঞান,রাজধানী, জামাইকা রাজধানী কোথায়?,কিংস্টন 
102,সাধারণ জ্ঞান,রাজধানী,  জাপান রাজধানী কোথায়?,টোকিও 
103,সাধারণ জ্ঞান,রাজধানী, জর্দান রাজধানী কোথায়?, আম্মান    
104,সাধারণ জ্ঞান,রাজধানী,  কাজাখস্তান রাজধানী কোথায়?, নূর-সুলতান  
105,সাধারণ জ্ঞান,রাজধানী,  কেনিয়া   রাজধানী কোথায়?,নাইরোবি
106,সাধারণ জ্ঞান,রাজধানী,  কিরিবাতি  রাজধানী কোথায়?,তারাওয়া অ্যাটল
107,সাধারণ জ্ঞান,রাজধানী, কোরিয়া রাজধানী কোথায়?, উত্তর: পিয়ংইয়াং
108,সাধারণ জ্ঞান,রাজধানী,  কোরিয়া  রাজধানী কোথায়?,দক্ষিণ: সিওল
109,সাধারণ জ্ঞান,রাজধানী,  কসোভো   রাজধানী কোথায়?, প্রিস্টিনা
110,সাধারণ জ্ঞান,রাজধানী,  কুয়েত  রাজধানী কোথায়?, কুয়েত শহর
111,সাধারণ জ্ঞান,রাজধানী,  কিরগিজস্তান রাজধানী কোথায়?, বিশেকেক
112,সাধারণ জ্ঞান,রাজধানী, লাওস রাজধানী কোথায়?,ভিয়েনটিয়েন
113,সাধারণ জ্ঞান,রাজধানী, লাটভিয়া রাজধানী কোথায়?,রিগা
114,সাধারণ জ্ঞান,রাজধানী, লেবানন রাজধানী কোথায়?,বৈরুত
115,সাধারণ জ্ঞান,রাজধানী, লেসোথো রাজধানী কোথায়? ,মাসেরু  
116,সাধারণ জ্ঞান,রাজধানী,  লাইবেরিয়া রাজধানী কোথায়?,মনরোভিয়া 
117,সাধারণ জ্ঞান,রাজধানী, লিবিয়া রাজধানী কোথায়?,ত্রিপোলি 
118,সাধারণ জ্ঞান,রাজধানী,   লিচটেনস্টাইন রাজধানী কোথায়?, ভাদুজ 
119,সাধারণ জ্ঞান,রাজধানী, লিথুয়ানিয়া রাজধানী কোথায়?, ভিলনিয়াস   
120,সাধারণ জ্ঞান,রাজধানী,   লাক্সেমবার্গ  রাজধানী কোথায়?, লাক্সেমবার্গ 
121,সাধারণ জ্ঞান,রাজধানী,    ম্যাসিডোনিয়া  রাজধানী কোথায়?, স্কোপজে
122,সাধারণ জ্ঞান,রাজধানী,      মাদাগাস্কার রাজধানী কোথায়?, আন্তানানারিভো
123,সাধারণ জ্ঞান,রাজধানী,    মালাউই রাজধানী কোথায়?,লিলংওয়ে
124,সাধারণ জ্ঞান,রাজধানী,   মালয়েশিয়া  রাজধানী কোথায়?, কুয়ালালামপুর 
125,সাধারণ জ্ঞান,রাজধানী,   মালদ্বীপ  রাজধানী কোথায়?,পুরুষ 
126,সাধারণ জ্ঞান,রাজধানী,   মালি  রাজধানী কোথায়?,বামাকো
127,সাধারণ জ্ঞান,রাজধানী,  মাল্টা   রাজধানী কোথায়?, ভালেটেটা
128,সাধারণ জ্ঞান,রাজধানী,   মার্শাল দ্বীপপুঞ্জ রাজধানী কোথায়?, মাজুরো
129,সাধারণ জ্ঞান,রাজধানী,  মৌরিতানিয়া রাজধানী কোথায়?,
130,সাধারণ জ্ঞান,রাজধানী,   মরিশাস রাজধানী কোথায়?, পোর্ট লুই 
131,সাধারণ জ্ঞান,রাজধানী,  মেক্সিকো রাজধানী কোথায়?,মেক্সিকো সিটি
132,সাধারণ জ্ঞান,রাজধানী,  মাইক্রোনেশিয়া(সংযুক্ত রাষ্ট্র)  রাজধানী কোথায়?,পালিকির
133,সাধারণ জ্ঞান,রাজধানী,  মোল্দোভা রাজধানী কোথায়?, চিসিনৌ
134,সাধারণ জ্ঞান,রাজধানী,  মোনাকো রাজধানী কোথায়?,মোনাকো
135,সাধারণ জ্ঞান,রাজধানী,  মঙ্গোলিয়া রাজধানী কোথায়?,উলানবাটার
136,সাধারণ জ্ঞান,রাজধানী,  মন্টিনিগ্রো রাজধানী কোথায়?, পডগোরিকা
137,সাধারণ জ্ঞান,রাজধানী,  মরোক্কো  রাজধানী কোথায়?, রাবাত
138,সাধারণ জ্ঞান,রাজধানী,  মোজাম্বিক রাজধানী কোথায়?,ম্যাপুটো
139,সাধারণ জ্ঞান,রাজধানী,  মায়ানমার (বার্মা) রাজধানী কোথায়?, রাঙ্গুন (ইয়াঙ্গুন )
140,সাধারণ জ্ঞান,রাজধানী,  নামিবিয়া রাজধানী কোথায়?, উইন্ডহোক
141,সাধারণ জ্ঞান,রাজধানী,  নাউরু  রাজধানী কোথায়?,ইয়ারেন
142,সাধারণ জ্ঞান,রাজধানী, নেদারল্যান্ডস রাজধানী কোথায়?,আমস্টারডাম; দ্য হেগ
143,সাধারণ জ্ঞান,রাজধানী, নিউজিল্যান্ড  রাজধানী কোথায়?,ওয়েলিংটন 
144,সাধারণ জ্ঞান,রাজধানী,  নিকারাগুয়া রাজধানী কোথায়? ,মানাগুয়া
145,সাধারণ জ্ঞান,রাজধানী, নাইজার  রাজধানী কোথায়?, নিয়ামে
146,সাধারণ জ্ঞান,রাজধানী,  নাইজেরিয়া রাজধানী কোথায়?,আবুজা 
