id,Category,Sub_category,Question,Answer
0,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,কলম্বিয়ার মুদ্রার নাম কি?,পেসো
1,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,স্পেনের মুদ্রার নাম কি?,ইউরো
2,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,কেনিয়া মুদ্রার নাম কি?,সিলিং
3,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,হন্ডুরাসের মুদ্রার নাম কি?,লেম্পিরা
4,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,রাশিয়ার মুদ্রার নাম কি?, রুবেল
5,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ভারত মুদ্রার নাম কি?,রুপি
6,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,শ্রীলঙ্কা মুদ্রার নাম কি?,রুপি
7,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পাকিস্তান মুদ্রার নাম কি?,রুপি
8,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,নেপাল মুদ্রার নাম কি?,রুপি
9,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ভুটান মুদ্রার নাম কি?,গুলট্রাম
10,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত, আফগানিস্তান মুদ্রার নাম কি?,আফগানি
11,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মায়ানমার মুদ্রার নাম কি?,কিয়াট
12,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ইরাক মুদ্রার নাম কি?,দিনার
13,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ইরান মুদ্রার নাম কি?,রিয়াল
14,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,আজারবাইজান মুদ্রার নাম কি?,মানাত
15,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মালদ্বীপ মুদ্রার নাম কি?,রুফিয়াহ
16,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ইসরাইল মুদ্রার নাম কি?,শেকেল
17,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত, চীন মুদ্রার নাম কি?, উয়ান
18,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,জাপান মুদ্রার নাম কি?, ইয়েন
19,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,সৌদি আরব মুদ্রার নাম কি?, রিয়াল
20,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ইতালি মুদ্রার নাম কি?, ইউরো
21,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ইংল্যান্ড মুদ্রার নাম কি?,পাউন্ড
22,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,নরওয়ে মুদ্রার নাম কি?,ক্রোনা
23,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,জার্মানি মুদ্রার নাম কি?,ইউরো
24,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ডেনমার্ক মুদ্রার নাম কি?, ডেনিশ ক্রোনা
25,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,চেক-প্রজাতন্ত্র মুদ্রার নাম কি?,করুনা
26,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,নেদারল্যান্ড মুদ্রার নাম কি?,ইউরো
27,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,রুমানিয়া মুদ্রার নাম কি?,লিউ
28,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মলেদাভা মুদ্রার নাম কি?,লিউ 
29,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মোনাকো মুদ্রার নাম কি?,ফ্রাঁ
30,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মালটা মুদ্রার নাম কি?,লিরা
31,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,বুলেগিরয়া মুদ্রার নাম কি?,লেভ
32,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,চিলি মুদ্রার নাম কি?,পেসো
33,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,গায়ানা মুদ্রার নাম কি?,ডলার
34,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ব্রাজিলের মুদ্রার নাম কি?,রিয়েল
35,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পেরু মুদ্রার নাম কি?,ইন্টি
36,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,প্যারাগুয়ের মুদ্রার নাম কি?,ওয়ারনি
37,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,বলিভিয়ার মুদ্রার নাম কি?,বলিভিয়ানো
38,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,কিরিবাতি মুদ্রার নাম কি?,ডলার
39,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ফিজির মুদ্রার নাম কি?,ডলার
40,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পালাউ মুদ্রার নাম কি?, মার্কিন ডলার
41,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পাপুয়া নিউিগিন মুদ্রার নাম কি?,কিনা
42,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত, অস্ট্রেলিয়ার মুদ্রার নাম কি?,ডলার
43,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,সুরিনাম মুদ্রার নাম কি?, গিল্ডার
44,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পানামা মুদ্রার নাম কি?, বালবোয়া
45,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,যুক্তরাষ্ট্রের মুদ্রার নাম কি?,ডলার
46,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,কানাডা মুদ্রার নাম কি?,ডলার
47,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,কিউবার মুদ্রার নাম কি?,পেসো
48,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,লিবিয়ার মুদ্রার নাম কি?, লিবিয়ান দিনার
49,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,সিসিলির মুদ্রার নাম কি?,রুপি
50,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,মরক্কোর মুদ্রার নাম কি?,দিরহাম
51,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,নাইজেরিয়ার মুদ্রার নাম কি?,নায়েরা
52,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,পশ্চিম সাহারা মুদ্রার নাম কি?, মরক্কীয় দিরহাম
53,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,দক্ষিণ আফ্রিকার মুদ্রার নাম কি?, রান্ড
54,সাধারণ-জ্ঞান,মুদ্রাসম্পকিত,ঘানার মুদ্রার নাম কি?,সেডি


